colony_id,name,reg_number,category,boundary_delineated,map_number,satellite_boundary_pdf_url,final_boundary_pdf_url,upload_date,remarks,source_link
1594,"Uttam Nagar, Block-A-1, A-2, 3",1598,regular,1,776,,https://dda.gov.in/sites/default/files/pmuday/776_1598.pdf,2020-06-01,"(1) REGD. NO.488_Vikas Vihar, R-Extn., Uttam Nagar, New Delhi-59",https://dda.gov.in/delineated-boundary
1595,"Tilak Enclave, Mohan Garden, Uttam Nagar",1599,regular,1,1504,,https://dda.gov.in/sites/default/files/pmuday/1504_1599.pdf,2020-06-17,,https://dda.gov.in/delineated-boundary
1596,"Radha Krishan Vihar,",1600,regular,1,1289,,https://dda.gov.in/sites/default/files/pmuday/1289_1600.pdf,2020-06-15,,https://dda.gov.in/delineated-boundary
1597,"Zakir Nagar, Gali No.6 to 21-A",1601,regular,1,1528,,https://dda.gov.in/sites/default/files/pmuday/1528_1347.pdf,2020-06-17,,https://dda.gov.in/delineated-boundary
1598,"Sadh Nagar, F-Block Phase I & II, 24-A to 25-D",1602,regular,1,589,,https://dda.gov.in/sites/default/files/pmuday/589_1602.pdf,2020-05-26,"(1)945 Sadh Nagar-II , F- Block New Delhi-45 (2)945-B Sadh Nagar-II , F- Block New Delhi-45",https://dda.gov.in/delineated-boundary
1599,"Vipin Garden Extension,",1603,regular,0,1712,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1600,Pul Pahalad Pur,1604,regular,1,852,https://dda.gov.in/sites/default/files/pmuday/852_1604.pdf,,2019-12-11,(1)1246 A Vishwakarma Colony M.B.Road Pul Pahladpur Delhi-44 (2)1247 Vishwakarma Colony B- Block M.B.Road Pul Pahladpur Delhi-44,https://dda.gov.in/delineated-boundary
1601,Ashok Nagar (C-Block),1605,regular,0,1713,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1602,"Gopal Nagar, Block AM & N Block Extn. Najafgarh",1606,regular,1,1477,,https://dda.gov.in/sites/default/files/pmuday/1477_1606.pdf,2020-06-17,,https://dda.gov.in/delineated-boundary
1603,"Indra Park, Indra Market",1610,regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
1604,"Prem Nagar, D-Block Extension",1611,regular,1,387,,https://dda.gov.in/sites/default/files/pmuday/387_1611.pdf,2020-05-20,,https://dda.gov.in/delineated-boundary
1605,"Budh Vihar Extension, Badarpur",1612,regular,1,1374,,https://dda.gov.in/sites/default/files/pmuday/1374_1612.pdf,2020-06-16,,https://dda.gov.in/delineated-boundary
1606,"Jeet Ram Colony, Budh Pur Distt., North West, Delhi",1-(ELD),regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
1607,"Primary School Block, A, Near Dilshad Gardan Residental Colony, Delhi-95",1-(LOP),regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
1608,"E-Block, Mandawali Fazalpur, Unchepar, Delhi- 92",10-(ELD),regular,1,1011,,https://dda.gov.in/sites/default/files/pmuday/1011_1377.pdf,2020-06-05,"(1) REGD. NO.10-(ELD)_E-Block, Mandawali Fazalpur, Unchepar, Delhi",https://dda.gov.in/delineated-boundary
1609,"East Azad Nagar, Delhi 51",10-(LOP),regular,1,98,,https://dda.gov.in/sites/default/files/pmuday/98_53-(ELD).pdf,2020-03-12,"(1) REGD. NO.10-(LOP)_East Azad Nagar, Delhi 51",https://dda.gov.in/delineated-boundary
1610,"Baba Hari Dass Colony, Jharoda Kalan New Delhi 72",100-(ELD),regular,1,1541,,https://dda.gov.in/sites/default/files/pmuday/1541_181.pdf,2020-06-17,,https://dda.gov.in/delineated-boundary
1611,"Village Malikpur, Chhawni Delhi -110009`",101-(ELD),regular,1,44,,https://dda.gov.in/sites/default/files/pmuday/44_101-(ELD).pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
